category,amount,hour,is_weekend,requires_review
Contractors,27483.57,13,0,0
Travel & Commute,572.35,19,0,0
Utilities,12528.1,2,0,1
Travel & Commute,729.54,9,0,0
Contractors,32615.15,17,0,0
Food & Meals,691.46,9,0,0
Travel & Commute,553.17,14,0,0
Travel & Commute,915.84,14,0,0
Food & Meals,3756.99,1,1,1
Utilities,4113.95,15,1,0
Hosting & Software,7295.79,18,0,0
Hosting & Software,8813.84,10,1,0
Travel & Commute,507.32,10,0,0
Office Supplies,1313.71,16,0,0
Hosting & Software,8362.94,14,0,0
Hosting & Software,5130.08,19,0,0
Utilities,2120.07,17,0,0
Travel & Commute,487.54,13,0,0
Contractors,19935.84,12,0,0
Office Supplies,1625.7,9,0,0
Food & Meals,522.99,12,0,0
Utilities,2370.16,14,0,0
Food & Meals,1116.41,19,0,0
Hosting & Software,7661.34,17,0,0
Contractors,25337.64,18,0,0
Travel & Commute,315.05,11,0,0
Office Supplies,1282.25,10,0,0
Travel & Commute,622.18,15,0,0
Food & Meals,462.25,16,0,0
Utilities,3800.56,9,0,0
Office Supplies,1259.74,17,0,0
Contractors,23541.53,13,0,0
Food & Meals,2110.33,3,1,1
Utilities,3018.63,17,0,0
Contractors,34261.39,19,0,0
Travel & Commute,597.3,11,0,0
Utilities,2653.83,18,0,0
Office Supplies,1829.02,14,0,0
Hosting & Software,6168.73,12,0,0
Office Supplies,8310.09,17,0,1
Travel & Commute,641.77,17,0,0
Utilities,1932.26,15,0,0
Utilities,2437.45,12,0,0
Food & Meals,799.22,19,0,0
Utilities,4090.77,12,0,0
Hosting & Software,14761.38,2,1,1
Office Supplies,2382.47,1,1,1
Office Supplies,1568.55,10,0,0
Hosting & Software,7826.53,12,0,0
Contractors,23494.48,18,0,0
Travel & Commute,304.3,15,0,0
Office Supplies,1212.06,14,0,0
Food & Meals,634.84,9,0,0
Contractors,133013.35,3,0,1
Travel & Commute,811.42,16,0,0
Travel & Commute,668.72,12,0,0
Office Supplies,794.78,17,1,0
Contractors,26620.42,9,0,0
Travel & Commute,522.98,16,0,0
Food & Meals,580.77,11,0,0
Food & Meals,902.92,16,0,0
Contractors,30155.0,17,0,0
Food & Meals,982.82,13,0,0
Office Supplies,1164.31,17,1,0
Hosting & Software,17721.46,23,1,1
Travel & Commute,972.1,2,1,1
Office Supplies,1376.32,19,0,0
Food & Meals,832.82,18,0,0
Utilities,24836.44,18,0,1
Utilities,4280.44,13,0,0
Contractors,22604.13,13,0,0
Contractors,24071.71,16,0,0
Office Supplies,4496.52,1,1,1
Office Supplies,1057.47,17,0,0
Hosting & Software,6205.69,12,0,0
Travel & Commute,762.51,17,0,0
Utilities,4584.99,19,0,0
Contractors,24639.95,13,0,0
Office Supplies,1901.41,11,0,0
Office Supplies,1644.65,11,0,0
Utilities,2983.9,14,0,0
Contractors,26806.98,17,0,0
Office Supplies,8360.06,1,0,1
Hosting & Software,10307.05,19,0,0
Travel & Commute,592.83,17,0,0
Utilities,34038.39,11,0,1
Utilities,17346.96,4,1,1
Travel & Commute,3448.47,1,1,1
Travel & Commute,912.93,19,0,0
Utilities,1404.2,15,0,0
Contractors,29109.51,12,0,0
Travel & Commute,617.41,9,0,0
Hosting & Software,7551.49,15,0,0
Contractors,25458.8,13,0,0
Contractors,15062.16,9,0,0
Travel & Commute,556.07,16,0,0
Travel & Commute,671.42,19,0,0
Hosting & Software,10216.84,10,0,0
Hosting & Software,7222.59,17,0,0
Utilities,2853.21,9,0,0
Hosting & Software,7247.36,13,1,0
Utilities,4232.32,14,0,0
Utilities,3763.0,18,0,0
Office Supplies,1288.1,9,0,0
Utilities,3910.61,19,0,0
Food & Meals,2160.87,23,1,1
Hosting & Software,8145.62,10,0,0
Hosting & Software,9452.97,19,0,0
Food & Meals,574.49,17,0,0
Food & Meals,668.08,15,0,0
Travel & Commute,521.58,13,0,0
Office Supplies,914.59,12,0,0
Utilities,3736.9,14,0,0
Food & Meals,815.26,17,0,0
Contractors,25025.57,10,0,0
Contractors,23827.06,14,1,0
Travel & Commute,316.93,12,0,0
Travel & Commute,5951.81,18,0,1
Office Supplies,1331.74,19,0,0
Contractors,23286.43,16,0,0
Travel & Commute,439.54,9,0,0
Office Supplies,1435.49,12,0,0
Contractors,27020.25,9,0,0
Office Supplies,2254.47,16,0,0
Utilities,3639.66,16,0,0
Contractors,26287.75,15,0,0
Utilities,3440.44,11,0,0
Food & Meals,270.31,12,0,0
Hosting & Software,7960.23,17,0,0
Travel & Commute,612.05,10,0,0
Travel & Commute,1092.65,14,0,0
Office Supplies,1423.06,12,0,0
Travel & Commute,660.31,10,0,0
Hosting & Software,7947.93,15,1,0
Food & Meals,457.83,18,0,0
Office Supplies,1957.13,18,0,0
Office Supplies,1800.77,13,0,0
Food & Meals,947.76,17,0,0
Travel & Commute,418.12,13,0,0
Office Supplies,2061.12,19,0,0
Food & Meals,399.54,16,0,0
Utilities,3969.49,15,0,0
Contractors,53572.98,4,1,1
Travel & Commute,2591.03,14,1,1
Hosting & Software,11285.68,15,0,0
Food & Meals,502.37,10,0,0
Contractors,22168.51,14,0,0
Office Supplies,1539.86,19,1,0
Office Supplies,1298.61,12,0,0
Utilities,2259.47,11,0,0
Office Supplies,1527.43,12,0,0
Hosting & Software,6406.54,11,0,0
Contractors,27367.96,11,0,0
Office Supplies,1132.23,13,0,0
Food & Meals,1137.48,12,1,0
Contractors,21083.73,12,0,0
Hosting & Software,7516.91,18,0,0
Utilities,4150.81,14,0,0
Contractors,18845.68,17,0,0
Office Supplies,1590.98,16,0,0
Hosting & Software,9960.71,16,0,0
Food & Meals,348.13,17,0,0
Hosting & Software,8276.95,17,0,0
Food & Meals,814.97,18,0,0
Travel & Commute,756.36,10,0,0
Food & Meals,440.76,16,0,0
Contractors,18397.72,9,0,0
Hosting & Software,8782.91,12,0,0
Hosting & Software,8445.48,18,0,0
Hosting & Software,8375.74,17,0,0
Office Supplies,1638.58,15,0,0
Travel & Commute,464.0,19,0,0
Food & Meals,808.06,10,0,0
Food & Meals,823.27,13,0,0
Hosting & Software,6928.47,17,0,0
Contractors,34328.87,14,0,0
Hosting & Software,8710.75,12,0,0
Travel & Commute,361.74,17,0,0
Contractors,28282.77,12,0,0
Hosting & Software,6537.98,17,0,0
Office Supplies,1814.83,13,0,0
Travel & Commute,831.72,17,0,0
Office Supplies,1171.73,17,0,0
Travel & Commute,792.68,16,0,0
Office Supplies,1665.11,16,0,0
Hosting & Software,9233.09,9,0,0
Food & Meals,1224.2,10,0,0
Office Supplies,1401.84,19,1,0
Travel & Commute,449.25,13,1,0
Travel & Commute,422.1,15,0,0
Utilities,2847.35,17,0,0
Food & Meals,730.72,18,0,0
Hosting & Software,8511.73,9,0,0
Contractors,203189.38,13,0,1
Contractors,146726.69,10,0,1
Travel & Commute,3134.06,15,1,1
Office Supplies,1610.68,13,0,0
Food & Meals,7214.67,18,0,1
Contractors,29135.92,12,0,0
Utilities,3510.4,11,0,0
Travel & Commute,5377.89,18,0,1
Contractors,32267.67,13,0,0
Food & Meals,683.84,15,0,0
Utilities,5676.14,16,1,0
Office Supplies,1750.27,14,0,0
